Date,Revenue,Display,SEM,SEMBrand,SEMCard,SEMPBook,SEMOther,Partners,Affiliate,FB,TV,TVImpression,DM,DM1,DM30,Display_Last_Week,SEM_Last_Week,SEMBrand_Last_Week,SEMCard_Last_Week,SEMPBook_Last_Week,SEMOther_Last_Week,Partners_Last_Week,Affiliate_Last_Week,FB_Last_Week,TV_Last_Week,TVImpression_Last_Week,Q2,Q3,Q4,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Y2012,Y2013,Weekday1,Weekday2,Weekday3,Weekday4,Weekday5,Weekday6,Kodak,SEM_BRAND_Impression,PBookRevenue,CardRevenue ,OtherRevenue,Affiliates_MTA,Direct_Mail_MTA,SEM_MTA,Partners_MTA,Affiliates_LTA,Direct_Mail_LTA,SEM_LTA,Partners_LTA,FB_LTA,Display_LTA,FB_MTA,Display_MTA
4/11/2011,548322.31,18538.39905,38987.2613,2229.794283,26181.67138,7001.706069,3574.089561,9100,2076.52737,0,0,0,80579.69787,152502.216,336419.396,18928.48126,43219.29663,1774.727886,32385.27248,5865.203716,3194.092551,9619.857143,1665.966159,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57404,271015.45,123766.12,153540.74,9431.04,5811.22,51147.46,53329.9,18895.04,3446.65,60004.72,40873.86,0,47010.84,0,19392.52
4/12/2011,579502.57,19577.67135,28580.94747,2039.959464,17858.8412,5134.835569,3547.311235,11629,2753.497189,0,0,0,80579.69787,148906.0901,328632.2423,18622.8745,40424.43322,1765.059161,29566.0484,5922.822872,3170.502791,9423.857143,1576.946061,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57149,328388.09,112022.94,139091.54,12443.54,6651.74,53354.1,59744.63,20160.65,3153.32,54698.77,47388.23,0,46700.9,0,18784.3
4/13/2011,641910.19,20199.35085,21196.82905,2102.913455,11983.19128,4099.043336,3011.680984,14157,3024.467588,0,0,0,80579.69787,145309.9642,320845.0885,18538.84759,36349.60455,1803.55566,25667.23882,5720.683854,3158.126218,9463.714286,1607.314557,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53430,392537.18,112626.37,136746.64,15295.64,9352.15,54485.99,68237.36,23608.9,3053.61,60992.16,57122.25,0,45966.95,0,20717.81
4/14/2011,427423.6,18900.52213,14175.08483,1674.280418,7882.789029,2737.822716,1880.192671,10488,3818.219263,0,0,0,80579.69787,141713.8383,313057.9348,18321.90268,32072.67071,1854.963499,21569.25886,5545.760094,3102.688254,9750.857143,1698.289708,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49722,168895.04,111972.17,146556.39,9336.28,7547.15,35783.51,45668.25,16178.27,2040.69,43093.69,37947.35,0,6408.07,0,2963.7
4/15/2011,365369.01,19070.07108,12690.49368,1556.387214,7520.77076,2307.535395,1305.800308,10504,3035.415887,0,0,0,80579.69787,138117.7124,305270.7811,18383.95102,27949.21723,1851.053062,18027.87334,5184.26108,2886.029753,10042.57143,1946.972499,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42354,143050.09,85786.74,136532.18,7525.69,6734.12,33006.08,45007.59,12390.35,2091.66,42682.88,36677.34,0,31663.07,0,12781.89
4/16/2011,400898.47,19146.47277,12892.12287,1429.633161,7147.736502,2966.216547,1348.536659,11342,2493.475089,0,0,0,80579.69787,134521.5865,297483.6273,18722.45087,25568.22619,1825.346147,16369.86046,4751.239697,2621.779879,10443.57143,2302.792215,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31458,164547.24,92508.91,143842.32,9232.85,7198.35,38226.28,51033.76,14966.17,2057.08,40510.67,44917.6,0,32767.6,0,15301.88
4/17/2011,524873.13,20059.10666,15459.28893,1693.340913,9117.478854,2867.61709,1780.852077,12450,2676.859096,0,0,0,80579.69787,130925.4605,289696.4736,19038.67313,23310.8694,1819.963235,14616.92668,4386.302003,2487.677487,10949.57143,2607.389533,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32015,208398.35,121538.85,194935.93,10625.33,8447.94,48742.65,59193.62,18379.4,2789.75,60617.08,48642.26,0,49464.48,0,21938.47
4/18/2011,505201.26,22545.82467,23738.63701,1987.110708,16461.64152,3512.152193,1777.732588,12426,3173.181982,0,0,0,80579.69787,127329.3346,281909.3199,19355.94199,20568.86116,1818.04413,12527.497,3873.539532,2349.780499,11381.42857,2839.780212,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37607,199832.13,127067.73,178301.4,10688.38,8977.07,47730.27,61487.36,19962.74,3179.97,59114.32,50452.51,0,48483.68,0,22854.05
4/19/2011,533574.66,22417.09305,27699.81437,1956.636354,19615.8011,4542.930776,1584.446138,12698,2816.449908,0,0,0,80579.69787,123733.2087,274122.1661,19928.43136,18390.48626,1783.375048,11138.92131,3375.031835,2093.158074,11856.57143,2996.445156,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36427,218512.98,125261.94,189799.74,10839.93,8910.65,52319.47,63039.54,17144.64,2755.42,62081.4,48983.25,0,51982.11,0,23098.14
4/20/2011,477088.54,24275.85197,29383.59087,1763.741104,19957.23889,5905.016142,1757.594728,14125,2705.142202,0,0,0,80579.69787,120137.0828,266335.0124,20334.06303,18264.61011,1771.471746,11389.91558,3290.474008,1812.748775,12009.28571,3005.438402,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33404,198090.24,117275.85,161722.45,10653.65,9128.95,43245.68,63423.15,17532.13,1888.37,51924.83,54603.08,0,39113.33,0,16768.74
4/21/2011,496312.76,24151.30675,24896.07021,1875.85832,16502.08225,5061.130641,1456.999,15561,2511.722254,0,0,0,80579.69787,116540.9569,258547.8587,20916.42033,19434.14751,1723.018553,12529.06524,3548.470123,1633.593595,12004.71429,2959.82049,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30678,212887.66,110277.67,173147.43,11127.21,8698.17,41835.79,62942.54,17916.56,2977.77,49338.85,50563.27,0,32096.35,0,14747.58
4/22/2011,459378.16,22882.82938,16786.39032,1616.083964,10379.13222,3883.281876,907.8922647,13256,951.5896514,0,0,0,80579.69787,112944.831,250760.7049,21666.53242,20965.71685,1751.815396,13760.39284,3880.371255,1573.137357,12729.42857,2773.17806,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28159,217860.5,92017.08,149500.58,10086.95,7268.82,43625.53,59139.84,14421.75,4414.12,51328.73,46303.62,0,28713.01,0,13142.51
4/23/2011,402009.85,21396.65953,12966.48731,1309.41398,7244.050205,3416.75489,996.2682355,11405,810.1741232,0,0,0,80579.69787,109348.7051,242973.5512,22211.21218,21550.84494,1760.343503,14168.73019,4105.477895,1516.293351,13122.57143,2475.488597,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26904,183642.73,83954.99,134412.13,8956.94,7287.34,37238.15,52453.96,13846.83,4602.46,45682.8,40788.06,0,25673.39,0,12166.45
4/24/2011,492605.17,21799.59995,13951.51306,1511.945769,7407.438865,4050.644444,981.4839854,11796,1377.660953,0,0,0,80579.69787,105752.5792,235186.3975,22532.66743,21561.46843,1743.169335,14182.48929,4169.840516,1465.96929,13131.57143,2235.017031,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29776,219460.34,98125.27,175019.56,10554.47,6771.68,51132.56,59081.65,17075.64,3540.92,60359.54,48977,0,30238.1,0,13347.8
4/25/2011,789680.06,26463.24282,25469.3502,2377.214994,16771.68789,5161.490703,1158.956611,18600,3227.923477,0,0,0,80579.69787,102156.4533,227399.2437,22781.30933,21346.07188,1717.255743,13938.19786,4338.844423,1351.773848,13038.14286,2049.417296,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47268,339608.93,159193.13,290878,16943.51,11884.66,70538.72,90692.91,26822.79,6953.96,82880.68,69101.25,0,37603.29,0,20248.72
4/26/2011,756487.26,24600.2975,32011.52056,2226.469194,24240.15896,4793.161255,751.7311535,18528,2981.586751,0,0,0,80579.69787,98560.3274,219612.09,23340.94049,21593.31662,1772.984926,13982.4902,4574.46421,1263.37728,13920.14286,2057.23751,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42303,334652.74,149124.56,272709.96,18378.94,13140.19,68389.32,96882.44,28126.21,7770.24,80396.92,76995.43,0,30963.73,0,17906.78
4/27/2011,1025246.66,21437.47687,28854.96212,2227.848731,19938.52233,5516.662193,1171.92887,18695,1946.972499,0,0,0,80579.69787,94964.20149,211824.9362,23652.82684,22209.27465,1811.532475,14643.11275,4610.211422,1144.417997,14753,2080.828487,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42484,509654.29,170954.95,344637.42,20262.66,17923.56,85889.79,123494.62,34265.19,9244.88,96445.52,85760.86,0,34449.05,0,18714.34
4/28/2011,1135933.99,21316.07144,26949.13371,2153.989337,18585.32163,5217.209391,992.6133497,19748,6862.758733,0,0,0,80579.69787,91368.07559,204037.7825,23247.34468,22133.75626,1877.833564,14640.43896,4554.732286,1060.751446,15405.85714,1972.51853,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40540,593809.07,180576.92,361548,21927.45,21935.21,93902.16,134637.04,29216.06,12095.8,99913.9,87528.16,0,28670.34,0,21327.1
