Date,Revenue,SEM,SEMCard,SEMPBook,SEMOther,SEMBrand,Display,FB,Affiliate,Partners,TV,TVImpression,DM,SEM_LTA,Display_LTA,FB_LTA,Affiliates_LTA,Partners_LTA,SEM_MTA,Display_MTA,FB_MTA,Affiliates_MTA,Partners_MTA
4/10/2013,805937.62,39726.93537,24718.9789,7398.733043,4202.864854,3406.35858,9018.02398,2703.287696,1709,13012,49610.25,5003700,430784.1553,131823.91,56245.7,3655.34,22003.18,64551.21,113295.39,43299.51679,2813.983214,13974.04,73622.45
4/11/2013,631014.04,36575.06536,21899.73847,7076.606924,4384.195326,3214.524633,9124.604965,2703.287696,1906,12466,60072.05,5233300,430784.1553,110481.85,48796.26,2960.52,22222.85,58902.24,94107.86,35937.66441,2180.375591,11689.02,69043.6
4/12/2013,524906.88,29997.98003,16696.95959,5940.293352,4079.487721,3281.23936,7957.781789,2569.22607,1734,12823,67924.35,7321900,430784.1553,90271.93,43755.91,3410.94,18339.82,60852.91,75692.38,30830.79221,2403.377792,10176.91,72826.01
4/13/2013,552530.82,26016.36071,15638.49391,3366.52696,3798.053455,3213.286384,8242.528004,2569.22607,1429,17955,53207.45,6196030,430784.1553,97283.18,46675.54,2663.3,19348.45,83480.04,77984.12,35692.85076,2036.629237,10240.91,103923.5
4/14/2013,753143.69,34949.82834,21328.68586,4951.648978,4880.537502,3788.955997,8696.690263,2004.238027,1631,13793,55036.65,6752500,430784.1553,142163.54,67046.56,3918.21,25988.7,70550.27,117162.11,48291.3944,2822.155596,14873.84,75307.15
4/15/2013,780574.68,38611.25196,25389.44358,4306.483729,5324.844639,3590.480015,8604.426126,2004.238027,1989,12739,72125.9,5081220,430784.1553,128889.63,67229.02,2178.88,27272.03,70364.31,101712.93,39835.15021,1291.049789,12981.81,138035.98
4/16/2013,719062.46,37324.05912,23848.94836,4608.861957,5282.095982,3584.152816,8395.241057,2604.29999,1926,11562,49233.7,4162180,430784.1553,129809.13,59955.95,1824.25,23147.58,57616.9,104027.93,42912.74515,1305.684846,12766.63,60330.61
4/17/2013,755153.16,37834.80748,23791.34093,5059.926605,5533.834673,3449.705267,8781.795975,2604.29999,2101,13840,47196.25,5246060,430784.1553,122247.3,61813.84,2770.34,30692.28,60253.12,108052.45,43770.564,1961.685996,14943.75,69257.4
4/18/2013,736008.48,35238.05125,21535.97594,4986.296871,4976.150089,3739.628351,9168.350892,2731.252436,2050,13181,71691.55,6476680,430784.1553,120052.12,58338.92,3112.96,25611.48,64668.49,101503.22,38688.60899,2064.421012,14578.65,85023.77
4/19/2013,569887.09,28626.33927,16702.78323,4462.420927,4227.271742,3233.863362,7464.645886,2731.252436,1714,12419,60129.85,4662010,430784.1553,95860.44,46836.39,2274.81,21223.55,58128.33,78999.11,32596.71103,1583.198966,11171.2,73734.79
